parent,label,date,lon,lat,confirmed,recovered,deaths
China,Peking (Beijing),2020-01-27,116.414172956705,40.1823809324133,80,2,1
China,Henan,2020-01-27,113.613964115943,33.8820061472366,128,0,1
USA,Illinois,2020-01-27,-88.986137,40.349457,1,0,0
USA,California,2020-01-27,-119.681564,36.116203,2,0,0
China,Hainan,2020-01-27,109.745335576195,19.1958639124575,33,0,1
China,Hubei (Wuhan),2020-01-27,112.270692167452,30.9756403482891,1423,45,76
China,Shandong,2020-01-27,118.149838795037,36.3426714789712,75,0,0
China,Hebei,2020-01-27,114.5149,38.0428,18,0,1
global,Kambodscha,2020-01-27,104.991,12.5657,1,0,0
China,Ningxia,2020-01-27,106.165455205247,37.2692274353319,7,0,0
global,Taiwan,2020-01-27,121,23.7,5,0,0
China,Fujian,2020-01-27,117.987371739429,26.0788658351203,59,0,0
China,Shanghai,2020-01-27,121.449111848821,31.2019853691089,53,3,1
China,Sichuan,2020-01-27,102.710322085654,30.6171383897493,69,0,0
China,Guangxi,2020-01-27,108.78812722508,23.8298403568635,46,0,0
China,Jiangsu,2020-01-27,119.45501030983,32.9710980851278,47,1,0
China,Shaanxi,2020-01-27,108.870143735105,35.1916533064219,35,0,0
China,Jiangxi,2020-01-27,115.722093542185,27.614008270636,72,2,0
global,Thailand,2020-01-27,100.9925,15.87,8,2,0
China,Yunnan,2020-01-27,101.486994477533,24.9740090515417,26,0,0
China,Innere Mongolei,2020-01-27,113.944789458154,44.0935009913267,11,0,0
global,Vietnam,2020-01-27,108.2772,14.0583,2,0,0
global,Japan,2020-01-27,138.2529,36.2048,4,1,0
Deutschland,Bayern,2020-01-27,11.658165,48.768814,1,0,0
China,Anhui,2020-01-27,117.226363790413,31.8257120511073,70,0,0
USA,Washington,2020-01-27,-121.490494,47.400902,1,0,0
Australien,Victoria,2020-01-27,144.9631,-37.8136,1,0,0
global,Südkorea,2020-01-27,127.7669,35.9078,4,0,0
global,Sri Lanka,2020-01-27,80.7718,7.8731,1,0,0
China,Chongqing,2020-01-27,107.87398583171,30.0571758751839,110,0,0
Kanada,Ontario,2020-01-27,-85.3232,51.2538,1,0,0
China,Guizhou,2020-01-27,106.874783781561,26.8153610246946,7,0,0
Australien,New South Wales,2020-01-27,151.2093,-33.8688,4,0,0
China,Xinjiang,2020-01-27,85.240102435218,41.1128513419168,5,0,0
China,Tianjin,2020-01-27,117.322972903268,39.3053612117002,23,0,0
global,Singapur,2020-01-27,103.8198,1.3521,5,0,0
China,Hunan,2020-01-27,111.708835644484,27.6104072903766,100,0,0
China,Shanxi,2020-01-27,112.292191181538,37.5776849568384,13,0,0
China,Heilongjiang,2020-01-27,127.761544149451,47.8619962256745,21,0,1
China,Gansu,2020-01-27,103.8343,36.0611,14,0,0
China,Zhejiang,2020-01-27,120.093412774886,29.1831892798285,128,1,0
China,Hong Kong,2020-01-27,114.2,22.3,8,0,0
China,Jilin,2020-01-27,126.192329763813,43.6661021395126,6,0,0
global,Frankreich,2020-01-27,2.2137,46.2276,3,0,0
