Bundesland,Meldedatum,Geschlecht,Altersgruppe,Neuinfektionen
Baden-Württemberg,2020-02-25,M,A15-A34,1
Baden-Württemberg,2020-02-25,W,A15-A34,1
Baden-Württemberg,2020-02-26,M,A15-A34,1
Baden-Württemberg,2020-02-26,M,A35-A59,2
Baden-Württemberg,2020-02-26,M,A60-A79,1
Baden-Württemberg,2020-02-26,W,A15-A34,1
Baden-Württemberg,2020-02-27,M,A15-A34,1
Baden-Württemberg,2020-02-27,M,A60-A79,1
Baden-Württemberg,2020-02-28,M,A15-A34,1
Baden-Württemberg,2020-02-28,M,A35-A59,2
Baden-Württemberg,2020-02-29,M,A35-A59,1
Baden-Württemberg,2020-02-29,W,A35-A59,1
Baden-Württemberg,2020-03-02,M,A15-A34,2
Baden-Württemberg,2020-03-02,M,A35-A59,4
Baden-Württemberg,2020-03-02,M,A60-A79,2
Baden-Württemberg,2020-03-02,M,A80+,1
Baden-Württemberg,2020-03-02,W,A15-A34,1
Baden-Württemberg,2020-03-02,W,A35-A59,1
Baden-Württemberg,2020-03-03,M,A05-A14,1
Baden-Württemberg,2020-03-03,M,A15-A34,2
Baden-Württemberg,2020-03-03,M,A35-A59,4
Baden-Württemberg,2020-03-03,W,A15-A34,1
Baden-Württemberg,2020-03-03,W,A35-A59,3
Baden-Württemberg,2020-03-04,M,A15-A34,3
Baden-Württemberg,2020-03-04,M,A35-A59,13
Baden-Württemberg,2020-03-04,M,A60-A79,3
Baden-Württemberg,2020-03-04,M,A80+,1
Baden-Württemberg,2020-03-04,W,A15-A34,7
Baden-Württemberg,2020-03-04,W,A35-A59,6
Baden-Württemberg,2020-03-04,W,A60-A79,2
Baden-Württemberg,2020-03-04,W,A80+,2
Baden-Württemberg,2020-03-05,M,A00-A04,1
Baden-Württemberg,2020-03-05,M,A15-A34,7
Baden-Württemberg,2020-03-05,M,A35-A59,9
Baden-Württemberg,2020-03-05,M,A60-A79,2
Baden-Württemberg,2020-03-05,W,A15-A34,6
Baden-Württemberg,2020-03-05,W,A35-A59,9
Baden-Württemberg,2020-03-05,W,A60-A79,1
Baden-Württemberg,2020-03-06,M,A05-A14,2
Baden-Württemberg,2020-03-06,M,A15-A34,2
Baden-Württemberg,2020-03-06,M,A35-A59,15
Baden-Württemberg,2020-03-06,M,A60-A79,4
Baden-Württemberg,2020-03-06,M,A80+,1
Baden-Württemberg,2020-03-06,W,A05-A14,1
Baden-Württemberg,2020-03-06,W,A15-A34,3
Baden-Württemberg,2020-03-06,W,A35-A59,13
Baden-Württemberg,2020-03-06,W,A60-A79,1
Baden-Württemberg,2020-03-06,W,A80+,3
Baden-Württemberg,2020-03-07,M,A05-A14,1
Baden-Württemberg,2020-03-07,M,A15-A34,1
Baden-Württemberg,2020-03-07,M,A35-A59,11
Baden-Württemberg,2020-03-07,M,A60-A79,4
Baden-Württemberg,2020-03-07,W,A05-A14,1
Baden-Württemberg,2020-03-07,W,A15-A34,2
Baden-Württemberg,2020-03-07,W,A35-A59,7
Baden-Württemberg,2020-03-07,W,A60-A79,5
Baden-Württemberg,2020-03-08,M,A00-A04,1
Baden-Württemberg,2020-03-08,M,A15-A34,1
Baden-Württemberg,2020-03-08,M,A35-A59,6
Baden-Württemberg,2020-03-08,W,A05-A14,1
Baden-Württemberg,2020-03-08,W,A15-A34,2
Baden-Württemberg,2020-03-08,W,A35-A59,3
Baden-Württemberg,2020-03-08,W,A60-A79,1
Baden-Württemberg,2020-03-09,M,A00-A04,1
Baden-Württemberg,2020-03-09,M,A05-A14,1
Baden-Württemberg,2020-03-09,M,A15-A34,6
Baden-Württemberg,2020-03-09,M,A35-A59,9
Baden-Württemberg,2020-03-09,M,A60-A79,3
Baden-Württemberg,2020-03-09,M,A80+,1
Baden-Württemberg,2020-03-09,W,A00-A04,1
Baden-Württemberg,2020-03-09,W,A05-A14,1
Baden-Württemberg,2020-03-09,W,A15-A34,6
Baden-Württemberg,2020-03-09,W,A35-A59,17
Baden-Württemberg,2020-03-09,W,A60-A79,1
